Archivo,Línea,Patrón,Severidad,Contenido,Sugerencia
"app\shared\user-account-access\update-role.html",1,"bootstrap-flex","medium","<div class=""d-flex flex-column gap-3"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-role.html",3,"bootstrap-flex","medium","class=""bg-body p-3 rounded border-1 border d-flex align-items-center gap-3""","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-role.html",6,"bootstrap-flex","medium","class=""w-3rem h-3rem rounded bg-primary-50 d-flex align-items-center justify-content-center text-primary""","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-role.html",10,"bootstrap-flex","medium","<div class=""d-flex flex-column"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-role.html",22,"bootstrap-flex","medium","<div class=""d-flex align-items-start gap-3"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-role.html",36,"bootstrap-flex","medium","<div class=""d-flex flex-column gap-4"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-role.html",38,"bootstrap-flex","medium","<div class=""d-flex flex-column gap-2"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-role.html",39,"bootstrap-flex","medium","<div class=""d-flex align-items-center justify-content-between px-1"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-role.html",54,"bootstrap-flex","medium","class=""d-flex align-items-center justify-content-between p-3 rounded-lg border-1 border transition-colors transition-dur...","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-role.html",62,"bootstrap-flex","medium","<div class=""d-flex align-items-center min-w-0 gap-3 w-full"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-role.html",77,"bootstrap-flex","medium","<div class=""d-flex flex-column min-w-0 flex-fill"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-role.html",84,"bootstrap-flex","medium","<div class=""d-flex align-items-center justify-content-between"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",2,"bootstrap-flex","medium","<div class=""d-flex flex-column gap-3"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",6,"bootstrap-flex","medium","<div class=""d-flex flex-column gap-3"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",7,"bootstrap-flex","medium","<div class=""d-flex align-items-center gap-3"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",9,"bootstrap-flex","medium","class=""w-4rem h-4rem rounded-circle bg-primary-100 d-flex align-items-center justify-content-center text-2xl""","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",16,"bootstrap-flex","medium","<div class=""d-flex flex-column gap-1"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",20,"bootstrap-flex","medium","class=""text-sm text-body-secondary d-flex align-items-center gap-2""","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",58,"bootstrap-flex","medium","<div class=""d-flex flex-column gap-4 h-full justify-content-between"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",61,"bootstrap-flex","medium","class=""d-flex align-items-center text-sm fw-bold text-body mb-2 gap-2""","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",92,"bootstrap-flex","medium","<div class=""d-flex flex-column gap-3"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",94,"bootstrap-flex","medium","<div class=""d-flex align-items-center gap-2"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",96,"bootstrap-flex","medium","<div class=""d-flex flex-column"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",107,"bootstrap-flex","medium","<div class=""d-flex flex-column gap-3 align-items-center text-center"">","Usar "flex" de Tailwind"
"app\shared\user-account-access\update-password-account.html",109,"bootstrap-flex","medium","class=""w-4rem h-4rem rounded-circle bg-blue-50 d-flex align-items-center justify-content-center text-2xl mb-2""","Usar "flex" de Tailwind"
"app\modules\recruitment.luxuryapp\recruitment-agenda-list.html",45,"bootstrap-flex","medium","class=""card p-3 mb-2 d-flex flex-column flex-md-row align-items-md-center justify-content-md-between gap-2 g-4""","Usar "flex" de Tailwind"
"app\modules\recruitment.luxuryapp\recruitment-agenda-list.html",70,"bootstrap-flex","medium","<div class=""d-flex flex-wrap gap-3 align-items-center justify-content-between"">","Usar "flex" de Tailwind"
"app\modules\recruitment.luxuryapp\recruitment-agenda-list.html",71,"bootstrap-flex","medium","<div class=""d-flex flex-wrap gap-2"">","Usar "flex" de Tailwind"
