ruta;modulo;b1_count;i1_count;a1_count;c1_count;c3_needed;c3_has_emptystate;b1_hechos;i1_hechos;a1_hechos;c1_hechos;c3_hecho;revisado;estado;revisor;commit;notas;button_mobile_violations
D:\repos\luxuryapp-api\client\angular\src\app\features\accounting\ar\aspel-customer-empresa\aspel-customer-empresa-list.html;accounting;0;0;0;0;1;0;0;0;0;0;0;0;0;excepcion;;;button-mobile:2
D:\repos\luxuryapp-api\client\angular\src\app\features\accounting\ar\catalogo-gastos-fijos\catalogo-gastos-fijos-list.html;accounting;0;0;0;0;1;0;0;0;0;0;0;0;0;excepcion;;;button-mobile:4
D:\repos\luxuryapp-api\client\angular\src\app\features\accounting\ar\espejo-aspel\projected-expenses-list.html;accounting;0;0;0;0;1;0;0;0;0;0;0;0;0;excepcion;;;button-mobile:2
D:\repos\luxuryapp-api\client\angular\src\app\features\accounting\general-ledger\accounting-accounts\level-three-account-list.html;accounting;0;0;0;0;1;0;0;0;0;0;0;0;0;excepcion;;;button-mobile:2
D:\repos\luxuryapp-api\client\angular\src\app\features\accounting\general-ledger\aspel-customer-empresa\aspel-customer-empresa-list.html;accounting;0;0;0;0;1;0;0;0;0;0;0;0;0;excepcion;;;button-mobile:2
D:\repos\luxuryapp-api\client\angular\src\app\features\accounting\general-ledger\catalogo-gastos-fijos\catalogo-gastos-fijos-list.html;accounting;0;0;0;0;1;0;0;0;0;0;0;0;0;excepcion;;;button-mobile:4
D:\repos\luxuryapp-api\client\angular\src\app\features\accounting\general-ledger\contabilidad\cobranza-nativa\pages\approvals\approval-inbox.html;accounting;0;0;0;0;1;0;0;0;0;0;0;0;0;excepcion;;;button-mobile:1
D:\repos\luxuryapp-api\client\angular\src\app\features\accounting\general-ledger\contabilidad\cobranza-nativa\pages\charge-templates\charge-template-list.html;accounting;0;0;0;0;1;0;0;0;0;0;0;0;0;excepcion;;;button-mobile:2
D:\repos\luxuryapp-api\client\angular\src\app\features\accounting\general-ledger\contabilidad\cobranza-nativa\pages\charges\charge-list.html;accounting;0;0;0;0;1;0;0;0;0;0;0;0;0;excepcion;;;button-mobile:1
D:\repos\luxuryapp-api\client\angular\src\app\features\accounting\general-ledger\contabilidad\cobranza-nativa\pages\collection-cases\collection-case-list.html;accounting;0;0;0;0;1;0;0;0;0;0;0;0;0;excepcion;;;button-mobile:1
